sku,categories,short_description,description,price,special_price,is_in_stock,additional_attributes,created_at,updated_at
Abstract Treasure,"Default Category/Paintings,Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Abstract Paintings,Default Category/Paintings/Style/Abstract,Default Category/Paintings/Abstract Paintings/Geometric Paintings,Default Category/Paintings/Surface/Canvas,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Paintings/Surface,Default Category/Show by Room,Default Category/Show by Room/Bed Room,Default Category/Room by View/Bed Room View,Default Category/Room by View","<p>An abstract image that emphasizes color or texture in a simple way can become the focal point of a living room,</p>",,,,1,"medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""16000"",jd_trends_artist=""2"",prirority=""1""","12/12/20, 3:45 PM","2/12/24, 5:12 PM"
running horses 001,"Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Animals, Birds Paintings,Default Category/Paintings/Style/Abstract,Default Category/Paintings/Animals, Birds Paintings/Running Horse Paintings,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas,Default Category/Show by Room,Default Category/Room by View,Default Category/Show by Room/Office,Default Category/Room by View/Bed Room View","<p><span data-sheets-value=""{""1"":2,""2"":""The abstract art on the walls matches the minimalist color palette and adds a warm vibe""}"" data-sheets-userformat=""{""2"":15357,""3"":{""1"":0},""5"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""6"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""7"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""8"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""9"":0,""10"":0,""11"":4,""12"":0,""14"":{""1"":2,""2"":0},""15"":""Arial"",""16"":10}"">The abstract art on the walls matches the minimalist color palette and adds a warm vibe</span></p>",,,,1,"medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""25000"",jd_trends_artist=""2"",prirority=""4""","12/14/20, 11:32 AM","5/13/22, 5:55 PM"
Nature Love   1,"Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Portrait Paintings,Default Category/Paintings/Style/Contemporary,Default Category/Paintings/Portrait Paintings/Lady Paintings,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View","<p><span data-sheets-value=""{""1"":2,""2"":""Gorgeous contemporary painting add colour to the Modern bedroom and will be eye-catching""}"" data-sheets-userformat=""{""2"":15357,""3"":{""1"":0},""5"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""6"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""7"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""8"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""9"":0,""10"":0,""11"":4,""12"":0,""14"":{""1"":2,""2"":0},""15"":""Arial"",""16"":10}"">Gorgeous contemporary painting add colour to the Modern bedroom and will be eye-catching</span></p>",,,,1,"medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""15000"",jd_trends_artist=""2"",prirority=""7""","12/14/20, 11:51 AM","5/13/22, 4:08 PM"
Nature Love   2,"Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Portrait Paintings,Default Category/Paintings/Style/Contemporary,Default Category/Paintings/Portrait Paintings/Lady Paintings,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View","<p><span data-sheets-value=""{""1"":2,""2"":""Gorgeous contemporary painting add colour to the Modern bedroom and will be eye-catching""}"" data-sheets-userformat=""{""2"":15357,""3"":{""1"":0},""5"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""6"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""7"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""8"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""9"":0,""10"":0,""11"":4,""12"":0,""14"":{""1"":2,""2"":0},""15"":""Arial"",""16"":10}"">Gorgeous contemporary painting add colour to the Modern bedroom and will be eye-catching</span></p>",,,,1,"medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""15000"",jd_trends_artist=""2"",prirority=""7""","12/14/20, 11:51 AM","5/13/22, 4:07 PM"
Nature Love   3,"Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Portrait Paintings,Default Category/Paintings/Style/Contemporary,Default Category/Paintings/Portrait Paintings/Lady Paintings,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View","<p><span data-sheets-value=""{""1"":2,""2"":""Gorgeous contemporary painting add colour to the Modern bedroom and will be eye-catching""}"" data-sheets-userformat=""{""2"":15357,""3"":{""1"":0},""5"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""6"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""7"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""8"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""9"":0,""10"":0,""11"":4,""12"":0,""14"":{""1"":2,""2"":0},""15"":""Arial"",""16"":10}"">Gorgeous contemporary painting add colour to the Modern bedroom and will be eye-catching</span></p>",,,,1,"medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""15000"",jd_trends_artist=""2"",prirority=""8""","12/14/20, 11:51 AM","12/20/21, 10:13 AM"
Danceing 01,"Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Portrait Paintings,Default Category/Paintings/Style/Contemporary,Default Category/Paintings/Portrait Paintings/Lady Paintings,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View","<p><span data-sheets-value=""{""1"":2,""2"":""Colourful wall art painting on an empty wall mesmerizes the viewer and imparts a greater feel from inside""}"" data-sheets-userformat=""{""2"":15357,""3"":{""1"":0},""5"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""6"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""7"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""8"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""9"":0,""10"":0,""11"":4,""12"":0,""14"":{""1"":2,""2"":0},""15"":""Arial"",""16"":10}"">Colourful wall art painting on an empty wall mesmerizes the viewer and imparts a greater feel from inside</span></p>",,,,1,"medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""280000"",jd_trends_artist=""2"",prirority=""2""","12/14/20, 12:15 PM","12/16/21, 4:16 PM"
couple music 01,"Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Portrait Paintings,Default Category/Paintings/Style/Contemporary,Default Category/Paintings/Portrait Paintings/Couple Paintings,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas,Default Category/Show by Room,Default Category/Room by View,Default Category/Show by Room/Bed Room,Default Category/Room by View/Bed Room View","<p><span data-sheets-value=""{""1"":2,""2"":""Contemporary Art that can invoke a great thought processs""}"" data-sheets-userformat=""{""2"":15103,""3"":{""1"":0},""4"":{""1"":2,""2"":16777215},""5"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""6"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""7"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""8"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""9"":0,""10"":0,""12"":0,""14"":{""1"":2,""2"":0},""15"":""Arial"",""16"":10}"">Contemporary Art that can invoke a great thought processs</span></p>",,,,1,"medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""80000"",jd_trends_artist=""2"",prirority=""9""","12/14/20, 12:17 PM","12/30/23, 8:47 AM"
sculpture 4,"Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Portrait Paintings,Default Category/Paintings/Style/Contemporary,Default Category/Paintings/Portrait Paintings/Couple Paintings,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View","<p><span data-sheets-value=""{""1"":2,""2"":""unrevealed beauty in Portrait painting best suitable for living room""}"" data-sheets-userformat=""{""2"":15357,""3"":{""1"":0},""5"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""6"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""7"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""8"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""9"":0,""10"":0,""11"":4,""12"":0,""14"":{""1"":2,""2"":0},""15"":""Arial"",""16"":10}"">unrevealed beauty in Portrait painting best suitable for living room</span></p>",,,,1,"medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""80000"",jd_trends_artist=""2"",prirority=""10""","12/14/20, 12:18 PM","6/5/24, 7:10 PM"
dancer 210,"Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Portrait Paintings,Default Category/Paintings/Style/Contemporary,Default Category/Paintings/Portrait Paintings/Lady Paintings,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View","<p><span data-sheets-value=""{""1"":2,""2"":""Buy paintings of women art at affordable price online from IndianArtZone. Select wide range of lady paintings, beautiful girl painting artworks by eminent Indian Artists""}"" data-sheets-userformat=""{""2"":14782,""4"":{""1"":2,""2"":16777215},""5"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""6"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""7"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""8"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""10"":0,""11"":4,""14"":{""1"":2,""2"":0},""15"":""Calibri"",""16"":12}"">Buy paintings of women art at affordable price online from IndianArtZone. Select wide range of lady paintings, beautiful girl painting artworks by eminent Indian Artists</span></p>",,,,1,"medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""150000"",jd_trends_artist=""2"",prirority=""2""","12/14/20, 12:20 PM","12/20/21, 10:13 AM"
Aspects 01,"Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Paintings/Medium/Oil,Default Category/Paintings/Abstract Paintings,Default Category/Paintings/Abstract Paintings/Geometric Paintings,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Art Paper,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View,Default Category/Paintings/Style/Contemporary","<p>100% Original, Hand Painted contemporary Art paintings for your Living room or bed room wall</p>",,,,1,"medium=""Oil"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""18000"",jd_trends_artist=""2"",prirority=""6""","12/15/20, 6:30 AM","2/8/24, 10:29 AM"
Obsession 01,"Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Paintings/Medium/Oil,Default Category/Paintings/Abstract Paintings,Default Category/Paintings/Abstract Paintings/Geometric Paintings,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Art Paper,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View,Default Category/Paintings/Style/Contemporary","<p>100% Original, Hand Painted contemporary Art paintings for your Living room or bed room wall</p>",,,,1,"medium=""Oil"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""18000"",jd_trends_artist=""2"",prirority=""6""","12/15/20, 6:30 AM","11/27/21, 1:27 PM"
Obsession 02,"Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Paintings/Medium/Oil,Default Category/Paintings/Abstract Paintings,Default Category/Paintings/Abstract Paintings/Geometric Paintings,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Art Paper,Default Category/Show by Room,Default Category/Show by Room/Bed Room,Default Category/Room by View/Living Room View,Default Category/Room by View,Default Category/Paintings/Style/Contemporary","<p>100% Original, Hand Painted contemporary Art paintings for your Living room or bed room wall</p>",,,,1,"medium=""Oil"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""18000"",jd_trends_artist=""2"",prirority=""1""","12/15/20, 6:51 AM","2/12/24, 5:13 PM"
Obsession 03,"Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Paintings/Medium/Oil,Default Category/Paintings/Abstract Paintings,Default Category/Paintings/Style/Abstract,Default Category/Paintings/Abstract Paintings/Geometric Paintings,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Art Paper,Default Category/Show by Room,Default Category/Show by Room/Bed Room,Default Category/Room by View/Bed Room View,Default Category/Room by View","<p><span data-sheets-value=""{""1"":2,""2"":""Colourful wall art painting on an empty wall mesmerizes the viewer and imparts a greater feel from inside""}"" data-sheets-userformat=""{""2"":15357,""3"":{""1"":0},""5"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""6"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""7"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""8"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""9"":0,""10"":0,""11"":4,""12"":0,""14"":{""1"":2,""2"":0},""15"":""Arial"",""16"":10}"">Colourful wall art painting on an empty wall mesmerizes the viewer and imparts a greater feel from inside</span></p>",,,,1,"medium=""Oil"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""18000"",jd_trends_artist=""2"",prirority=""1""","12/15/20, 6:53 AM","2/12/24, 5:10 PM"
Resurrection 2,"Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Paintings/Medium/Oil,Default Category/Paintings/Abstract Paintings,Default Category/Paintings/Style/Abstract,Default Category/Paintings/Abstract Paintings/Geometric Paintings,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Art Paper,Default Category/Show by Room,Default Category/Show by Room/Bed Room,Default Category/Room by View/Bed Room View,Default Category/Room by View","<p><span data-sheets-value=""{""1"":2,""2"":""Abstract art can be a very refreshing and dynamic addition to a space like the kitchen""}"" data-sheets-userformat=""{""2"":15357,""3"":{""1"":0},""5"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""6"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""7"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""8"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""9"":0,""10"":0,""11"":4,""12"":0,""14"":{""1"":2,""2"":0},""15"":""Arial"",""16"":10}"">Abstract art can be a very refreshing and dynamic addition to a space like the kitchen</span></p>",,,,1,"medium=""Oil"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""18000"",jd_trends_artist=""2"",prirority=""4""","12/15/20, 6:57 AM","12/20/21, 10:12 AM"
Fish 006,"Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Abstract Paintings,Default Category/Paintings/Style/Contemporary,Default Category/Paintings/Abstract Paintings/Modern Art, Contemporary Art,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas,Default Category/Show by Room,Default Category/Show by Room/Bed Room,Default Category/Room by View/Bed Room View,Default Category/Room by View","<p><span data-sheets-value=""{""1"":2,""2"":""Modern art Paintings in Canvas medium adds definite charisma to your Living Room""}"" data-sheets-userformat=""{""2"":15357,""3"":{""1"":0},""5"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""6"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""7"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""8"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""9"":0,""10"":0,""11"":4,""12"":0,""14"":{""1"":2,""2"":0},""15"":""Arial"",""16"":10}"">Modern art Paintings in Canvas medium adds definite charisma to your Living Room</span></p>",,,,1,"medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""25000"",jd_trends_artist=""2"",prirority=""8""","12/16/20, 5:45 AM","5/2/22, 3:57 PM"
Composition 014,"Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Abstract Paintings,Default Category/Paintings/Style/Contemporary,Default Category/Paintings/Abstract Paintings/Modern Art, Contemporary Art,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View","<p><span data-sheets-value=""{""1"":2,""2"":""Modern art Paintings in Canvas medium adds definite charisma to your Living Room""}"" data-sheets-userformat=""{""2"":15357,""3"":{""1"":0},""5"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""6"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""7"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""8"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""9"":0,""10"":0,""11"":4,""12"":0,""14"":{""1"":2,""2"":0},""15"":""Arial"",""16"":10}"">Modern art Paintings in Canvas medium adds definite charisma to your Living Room</span></p>",,,,1,"medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""40000"",jd_trends_artist=""2"",prirority=""8""","12/16/20, 5:48 AM","5/2/22, 3:57 PM"
Composition 015,"Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Abstract Paintings,Default Category/Paintings/Style/Abstract,Default Category/Paintings/Abstract Paintings/Modern Art, Contemporary Art,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas,Default Category/Show by Room,Default Category/Show by Room/Bed Room,Default Category/Room by View/Bed Room View,Default Category/Room by View","<p><span data-sheets-value=""{""1"":2,""2"":""Modern art Paintings in Canvas medium adds definite charisma to your Living Room""}"" data-sheets-userformat=""{""2"":15357,""3"":{""1"":0},""5"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""6"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""7"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""8"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""9"":0,""10"":0,""11"":4,""12"":0,""14"":{""1"":2,""2"":0},""15"":""Arial"",""16"":10}"">Modern art Paintings in Canvas medium adds definite charisma to your Living Room</span></p>",,,,1,"medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""25000"",jd_trends_artist=""2"",prirority=""10""","12/16/20, 5:54 AM","12/20/21, 10:12 AM"
face 008,"Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Abstract Paintings,Default Category/Paintings/Style/Contemporary,Default Category/Paintings/Abstract Paintings/Modern Art, Contemporary Art,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View","<p><span data-sheets-value=""{""1"":2,""2"":""Modern art Paintings in Canvas medium adds definite charisma to your Living Room""}"" data-sheets-userformat=""{""2"":15357,""3"":{""1"":0},""5"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""6"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""7"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""8"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""9"":0,""10"":0,""11"":4,""12"":0,""14"":{""1"":2,""2"":0},""15"":""Arial"",""16"":10}"">Modern art Paintings in Canvas medium adds definite charisma to your Living Room</span></p>",,,,1,"medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""35000"",jd_trends_artist=""2"",prirority=""7""","12/16/20, 5:55 AM","5/2/22, 3:38 PM"
